140.906, 198.679, 2.012,  7.382 False
140.971, 198.679, 1.928,  7.415 False
141.034, 198.679, 1.859,  7.448 False
141.095, 198.679, 1.805,  7.481 False
141.155, 198.678, 1.758,  7.514 False
141.213, 198.678, 1.719,  7.547 False
141.270, 198.678, 1.688,  7.580 False
141.326, 198.678, 1.662,  7.613 False
141.382, 198.678, 1.643,  7.646 False
141.437, 198.678, 1.629,  7.679 False
141.491, 198.677, 1.619,  7.712 False
141.545, 198.677, 1.615,  7.745 False
141.600, 198.677, 1.613,  7.778 False
141.654, 198.677, 1.615,  7.811 False
141.708, 198.677, 1.620,  7.844 False
141.763, 198.676, 1.626,  7.877 False
141.818, 198.676, 1.634,  7.910 False
141.873, 198.676, 1.643,  7.943 False
141.928, 198.676, 1.652,  7.976 False
141.984, 198.676, 1.661,  8.009 False
142.040, 198.675, 1.670,  8.042 False
142.096, 198.675, 1.679,  8.075 False
142.152, 198.675, 1.686,  8.108 False
142.209, 198.675, 1.692,  8.141 False
142.265, 198.675, 1.697,  8.174 False
142.322, 198.674, 1.701,  8.207 False
142.379, 198.674, 1.704,  8.240 False
142.436, 198.674, 1.708,  8.273 False
142.493, 198.674, 1.714,  8.306 False
142.551, 198.674, 1.726,  8.339 False
142.609, 198.673, 1.742,  8.372 False
142.667, 198.673, 1.765,  8.405 False
142.727, 198.673, 1.794,  8.438 False
142.788, 198.673, 1.828,  8.471 False
142.850, 198.673, 1.868,  8.504 False
142.914, 198.673, 1.911,  8.537 False
142.979, 198.672, 1.957,  8.570 False
143.045, 198.672, 2.005,  8.603 False
143.114, 198.672, 2.053,  8.636 False
143.184, 198.672, 2.100,  8.669 False
143.255, 198.672, 2.143,  8.702 False
143.327, 198.671, 2.181,  8.735 False
143.401, 198.671, 2.214,  8.768 False
143.476, 198.671, 2.241,  8.801 False
143.551, 198.671, 2.264,  8.834 False
143.627, 198.670, 2.283,  8.867 False
143.703, 198.670, 2.298,  8.900 False
143.780, 198.670, 2.310,  8.933 False
143.857, 198.670, 2.320,  8.966 False
143.935, 198.670, 2.328,  8.999 False
144.012, 198.669, 2.333,  9.032 False
144.090, 198.669, 2.337,  9.065 False
144.168, 198.669, 2.340,  9.098 False
144.246, 198.669, 2.342,  9.131 False
144.324, 198.668, 2.343,  9.164 False
144.401, 198.668, 2.343,  9.197 False
144.479, 198.668, 2.343,  9.230 False
